               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042464,            0.045518,           0.0077118,             0.89391,             0.83107,             0.90592,             0.59874,            0.038098,            0.025415,            0.003202,            0.008845,            0.008845,            0.008845
                  37,            0.043817,            0.053642,           0.0076625,             0.86141,             0.82866,             0.89125,             0.60384,            0.037222,             0.02498,           0.0032215,            0.008812,            0.008812,            0.008812
                  38,             0.04027,            0.044484,            0.007145,             0.87309,             0.83763,             0.89646,               0.603,            0.037919,            0.024714,           0.0031813,            0.008779,            0.008779,            0.008779
                  39,             0.04156,            0.042053,           0.0079299,             0.90177,             0.84304,             0.91747,                0.62,            0.035802,            0.024489,           0.0031173,            0.008746,            0.008746,            0.008746
                  40,            0.042776,             0.04652,            0.007903,             0.86302,             0.84415,             0.90183,             0.60973,             0.03683,            0.024541,           0.0031534,            0.008713,            0.008713,            0.008713
                  41,            0.042851,            0.045667,            0.007632,             0.86454,             0.84653,             0.90507,             0.63246,            0.035705,            0.024475,           0.0031414,             0.00868,             0.00868,             0.00868
                  42,            0.043785,            0.046473,           0.0070209,             0.85534,             0.85196,             0.90601,             0.61694,            0.037462,            0.024352,           0.0031106,            0.008647,            0.008647,            0.008647
                  43,            0.041955,            0.043973,           0.0075806,             0.84552,             0.84883,             0.89941,              0.6246,               0.037,            0.024609,           0.0031122,            0.008614,            0.008614,            0.008614
                  44,            0.040821,            0.042492,           0.0075291,             0.84594,             0.83996,             0.89298,             0.62334,            0.037355,            0.024481,           0.0032289,            0.008581,            0.008581,            0.008581
                  45,            0.042087,             0.04217,           0.0076911,             0.82771,             0.84551,             0.89535,             0.59751,            0.037253,            0.024512,           0.0032852,            0.008548,            0.008548,            0.008548
                  46,            0.041499,            0.042326,           0.0071919,             0.89259,             0.82178,             0.90778,             0.60632,            0.036517,            0.023965,           0.0032365,            0.008515,            0.008515,            0.008515
                  47,            0.039968,            0.039779,           0.0073942,             0.85897,             0.83958,             0.91184,              0.6065,            0.037503,            0.024002,           0.0031379,            0.008482,            0.008482,            0.008482
                  48,            0.040313,            0.045495,           0.0079241,             0.89864,             0.82983,             0.91658,             0.62406,            0.035575,            0.023605,           0.0030525,            0.008449,            0.008449,            0.008449
                  49,            0.039273,            0.044036,           0.0080099,             0.87776,             0.85032,             0.90925,             0.63453,            0.034146,            0.023432,           0.0029886,            0.008416,            0.008416,            0.008416
                  50,            0.039105,             0.04053,           0.0078679,             0.87504,             0.85603,             0.91853,             0.63421,            0.034817,            0.023128,           0.0029008,            0.008383,            0.008383,            0.008383
                  51,              0.0395,            0.049908,           0.0066886,             0.86142,             0.85421,             0.89808,             0.62047,            0.036837,            0.023247,           0.0027884,             0.00835,             0.00835,             0.00835
                  52,            0.041144,            0.048641,           0.0067715,             0.89745,             0.85755,             0.91494,             0.63219,            0.034701,            0.022849,           0.0027742,            0.008317,            0.008317,            0.008317
                  53,            0.041143,            0.044336,            0.007076,             0.89253,             0.85031,             0.91132,              0.6165,            0.035271,            0.023003,           0.0028586,            0.008284,            0.008284,            0.008284
                  54,            0.039291,             0.04114,           0.0068517,             0.87354,             0.84096,             0.90384,              0.6184,            0.036255,            0.023017,            0.002856,            0.008251,            0.008251,            0.008251
                  55,            0.041654,            0.039433,           0.0072622,             0.88516,             0.84801,             0.91493,             0.64493,            0.033847,            0.022967,           0.0029614,            0.008218,            0.008218,            0.008218
                  56,              0.0393,            0.040684,           0.0064512,             0.86928,             0.86397,             0.92195,             0.64097,            0.033657,            0.022929,           0.0029975,            0.008185,            0.008185,            0.008185
                  57,             0.03938,            0.046365,           0.0070107,             0.88628,             0.84848,             0.90755,             0.63566,            0.033945,            0.022958,           0.0029756,            0.008152,            0.008152,            0.008152
                  58,            0.041178,            0.042526,           0.0075749,             0.90492,             0.86064,             0.92821,             0.63978,            0.033679,            0.022766,           0.0029564,            0.008119,            0.008119,            0.008119
                  59,            0.038385,             0.04277,           0.0067765,             0.88447,             0.86452,             0.92213,             0.64018,            0.035088,            0.022665,            0.002888,            0.008086,            0.008086,            0.008086
                  60,            0.039202,            0.038841,           0.0069455,             0.88996,             0.86881,             0.92295,             0.63613,             0.03381,            0.022704,           0.0028727,            0.008053,            0.008053,            0.008053
                  61,            0.038824,            0.042074,           0.0074448,             0.87623,             0.87133,             0.91946,             0.61933,            0.035344,            0.023283,           0.0029093,             0.00802,             0.00802,             0.00802
                  62,            0.040515,            0.044125,           0.0066214,             0.88017,             0.85901,             0.91969,             0.62308,            0.035662,            0.023048,           0.0029842,            0.007987,            0.007987,            0.007987
                  63,            0.040018,            0.045675,           0.0066284,             0.89228,              0.8466,             0.91952,             0.63857,            0.033802,            0.022422,           0.0029689,            0.007954,            0.007954,            0.007954
                  64,            0.040848,             0.04625,           0.0069056,             0.91994,             0.86266,             0.92565,             0.64849,            0.032605,            0.022181,           0.0028964,            0.007921,            0.007921,            0.007921
                  65,             0.03897,            0.044212,           0.0068845,             0.91255,                0.87,             0.93097,             0.65255,             0.03331,            0.022242,           0.0028006,            0.007888,            0.007888,            0.007888
                  66,            0.035195,             0.03677,           0.0062388,             0.92063,             0.87286,             0.93079,             0.65459,            0.034635,             0.02241,           0.0027491,            0.007855,            0.007855,            0.007855
                  67,            0.037227,            0.040699,           0.0061244,             0.91084,             0.87813,             0.93276,             0.64771,             0.03359,            0.022449,           0.0027193,            0.007822,            0.007822,            0.007822
                  68,            0.038792,            0.041355,           0.0062833,             0.89506,             0.86936,             0.92558,             0.64046,            0.033213,            0.022123,             0.00273,            0.007789,            0.007789,            0.007789
                  69,            0.038119,            0.039775,           0.0066761,             0.90904,             0.86962,             0.93744,             0.65985,            0.032969,            0.022283,            0.002727,            0.007756,            0.007756,            0.007756
                  70,            0.037731,            0.039489,           0.0066302,             0.88596,             0.86635,             0.92407,             0.64159,             0.03429,             0.02223,           0.0027361,            0.007723,            0.007723,            0.007723
                  71,            0.038845,            0.037852,           0.0065112,             0.89958,             0.86651,             0.93775,             0.66762,             0.03264,            0.022118,            0.002786,             0.00769,             0.00769,             0.00769
                  72,            0.037079,            0.040235,           0.0061749,             0.90571,             0.87133,             0.93649,             0.65615,            0.033629,            0.022477,           0.0028628,            0.007657,            0.007657,            0.007657
                  73,            0.038025,            0.036313,           0.0067071,             0.85638,             0.89421,              0.9256,             0.67049,            0.032071,            0.021894,           0.0029068,            0.007624,            0.007624,            0.007624
                  74,            0.037538,            0.043591,           0.0063998,               0.821,             0.92248,             0.93099,             0.66944,            0.031896,            0.022006,           0.0029153,            0.007591,            0.007591,            0.007591
                  75,             0.03637,            0.039885,           0.0066147,             0.83805,             0.92372,             0.94212,             0.67544,            0.031936,            0.022065,           0.0029835,            0.007558,            0.007558,            0.007558
                  76,            0.036762,            0.038811,           0.0059733,             0.85921,             0.91101,             0.93765,             0.66781,            0.031872,            0.022276,           0.0029225,            0.007525,            0.007525,            0.007525
                  77,            0.036464,            0.039331,           0.0075284,             0.85962,             0.90969,             0.93602,             0.65564,             0.03269,             0.02212,           0.0028369,            0.007492,            0.007492,            0.007492
                  78,            0.037935,            0.039042,           0.0060177,             0.85329,             0.90312,             0.94279,              0.6591,             0.03248,            0.022092,           0.0027913,            0.007459,            0.007459,            0.007459
                  79,              0.0374,            0.043006,            0.006164,             0.89134,             0.87649,             0.94248,             0.66527,            0.031721,            0.021966,           0.0027999,            0.007426,            0.007426,            0.007426
                  80,            0.037253,            0.039731,           0.0058724,             0.89948,             0.87521,             0.94391,             0.67258,             0.03158,            0.021937,           0.0027444,            0.007393,            0.007393,            0.007393
                  81,            0.037578,             0.04085,           0.0064415,             0.91672,             0.86888,             0.93552,             0.66987,            0.032475,            0.021989,           0.0027333,             0.00736,             0.00736,             0.00736
                  82,            0.036653,            0.036067,           0.0063849,             0.91137,             0.87412,             0.93856,              0.6708,            0.031909,            0.021929,           0.0027089,            0.007327,            0.007327,            0.007327
                  83,            0.035445,            0.041497,           0.0057621,             0.90722,             0.88994,             0.93979,             0.66885,            0.032261,            0.021433,           0.0026867,            0.007294,            0.007294,            0.007294
                  84,            0.036256,            0.040444,           0.0057826,             0.87694,             0.90339,             0.93728,             0.65227,            0.033618,            0.021592,           0.0026711,            0.007261,            0.007261,            0.007261
                  85,             0.03711,            0.038606,           0.0057211,             0.88455,              0.8993,             0.94256,             0.66681,            0.032756,            0.021605,           0.0026616,            0.007228,            0.007228,            0.007228
                  86,            0.036666,            0.040295,           0.0058778,             0.86794,             0.89704,             0.93548,             0.66798,            0.034337,            0.021383,           0.0026367,            0.007195,            0.007195,            0.007195
                  87,            0.038233,            0.042884,           0.0066917,             0.87481,             0.91328,             0.94965,             0.68656,            0.031104,             0.02106,           0.0026217,            0.007162,            0.007162,            0.007162
                  88,             0.03624,            0.039737,           0.0056268,             0.89072,             0.90305,             0.94787,             0.67695,            0.032075,            0.021429,           0.0026233,            0.007129,            0.007129,            0.007129
                  89,            0.034661,            0.040485,           0.0061506,             0.89181,             0.89349,              0.9473,             0.66603,            0.031344,             0.02083,           0.0026017,            0.007096,            0.007096,            0.007096
                  90,            0.037174,            0.039813,            0.006243,             0.87384,             0.91999,             0.95238,             0.67306,            0.032035,             0.02116,           0.0025733,            0.007063,            0.007063,            0.007063
                  91,            0.037284,            0.036961,           0.0065948,             0.87718,             0.92313,             0.95511,             0.67949,             0.03218,            0.021406,           0.0025487,             0.00703,             0.00703,             0.00703
                  92,            0.035584,            0.037832,           0.0058685,             0.87385,             0.92014,             0.95185,             0.67516,            0.033419,             0.02187,           0.0025196,            0.006997,            0.006997,            0.006997
                  93,            0.036838,            0.039669,           0.0061326,             0.88331,             0.91343,             0.95381,             0.67356,            0.032629,            0.021203,           0.0024854,            0.006964,            0.006964,            0.006964
                  94,            0.036199,             0.03802,           0.0058235,             0.89357,             0.88679,             0.94724,             0.67439,            0.032785,            0.021489,           0.0025184,            0.006931,            0.006931,            0.006931
                  95,            0.037139,            0.039124,            0.006379,             0.90623,             0.89785,              0.9514,             0.68249,            0.030539,            0.020933,           0.0025055,            0.006898,            0.006898,            0.006898
                  96,             0.03498,            0.038363,           0.0062027,             0.91801,             0.88161,              0.9498,             0.68629,            0.030976,            0.020788,           0.0024532,            0.006865,            0.006865,            0.006865
                  97,            0.035726,            0.037787,           0.0057478,             0.89162,             0.93139,             0.96218,             0.69788,            0.030299,            0.020623,           0.0024497,            0.006832,            0.006832,            0.006832
                  98,            0.036393,            0.040894,            0.006003,             0.89153,             0.92859,             0.95562,             0.69175,            0.030164,            0.020371,           0.0024801,            0.006799,            0.006799,            0.006799
                  99,            0.034315,            0.033805,            0.006529,             0.89308,             0.91053,             0.95169,             0.69809,            0.030949,            0.020298,           0.0024927,            0.006766,            0.006766,            0.006766
