               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032694,             0.05041,           0.0075616,             0.92111,             0.88945,             0.93593,             0.67564,             0.02799,            0.029843,           0.0033249,            0.008845,            0.008845,            0.008845
                  37,             0.03246,            0.051747,           0.0082373,             0.92285,             0.89463,             0.94284,             0.70613,             0.02675,            0.030063,           0.0032795,            0.008812,            0.008812,            0.008812
                  38,            0.032867,            0.052053,           0.0076206,             0.93837,             0.90796,             0.94798,             0.69787,             0.02644,            0.029828,           0.0033494,            0.008779,            0.008779,            0.008779
                  39,            0.032479,            0.051391,           0.0074429,             0.94413,             0.90518,             0.95226,             0.70889,            0.026115,            0.029175,           0.0032912,            0.008746,            0.008746,            0.008746
                  40,             0.03197,            0.049066,           0.0077766,             0.94744,             0.90229,              0.9495,             0.70607,            0.026235,            0.029286,           0.0032496,            0.008713,            0.008713,            0.008713
                  41,            0.032242,            0.048758,           0.0071324,             0.92133,             0.88778,              0.9405,             0.69155,            0.026634,             0.02892,            0.003248,             0.00868,             0.00868,             0.00868
                  42,            0.032527,            0.050458,           0.0078093,             0.93935,             0.89018,             0.94603,              0.7013,            0.026308,            0.028983,           0.0031584,            0.008647,            0.008647,            0.008647
                  43,            0.032141,            0.047716,           0.0071812,             0.94002,             0.90853,             0.95232,             0.71425,            0.025678,            0.028339,           0.0030772,            0.008614,            0.008614,            0.008614
                  44,            0.032133,            0.050235,           0.0074257,             0.95741,             0.90333,             0.95927,             0.70808,            0.025523,            0.028792,           0.0030502,            0.008581,            0.008581,            0.008581
                  45,            0.031296,            0.046721,           0.0066714,             0.94088,             0.90494,             0.95046,              0.7095,            0.025893,            0.028749,           0.0031309,            0.008548,            0.008548,            0.008548
                  46,            0.031564,            0.049839,           0.0067823,             0.93678,             0.91148,             0.94927,              0.7024,            0.026268,            0.028676,           0.0030461,            0.008515,            0.008515,            0.008515
                  47,            0.031623,            0.048223,           0.0070811,             0.94717,             0.91405,             0.95408,             0.72574,            0.025471,            0.028126,           0.0030027,            0.008482,            0.008482,            0.008482
                  48,            0.031382,            0.046658,           0.0065903,             0.94849,             0.91742,             0.95492,             0.72013,            0.026067,            0.028338,           0.0029286,            0.008449,            0.008449,            0.008449
                  49,            0.031238,            0.046476,           0.0070218,             0.93352,             0.91216,             0.95016,             0.71148,            0.026073,            0.028425,           0.0029885,            0.008416,            0.008416,            0.008416
                  50,            0.031056,             0.04822,           0.0073593,             0.94408,             0.91265,             0.95555,             0.73621,            0.025152,            0.028181,            0.002993,            0.008383,            0.008383,            0.008383
                  51,            0.031341,             0.04683,           0.0072361,             0.94214,             0.91175,             0.95646,             0.72423,            0.025024,            0.027984,           0.0029225,             0.00835,             0.00835,             0.00835
                  52,            0.030872,            0.047713,           0.0065669,             0.93866,             0.90475,              0.9565,             0.71593,            0.025594,            0.027938,           0.0028801,            0.008317,            0.008317,            0.008317
                  53,            0.030052,            0.047341,            0.006581,             0.94469,             0.91592,             0.95751,              0.7301,            0.025177,            0.027659,           0.0028598,            0.008284,            0.008284,            0.008284
                  54,            0.030192,            0.046443,            0.006595,             0.93994,             0.91552,             0.95907,             0.72997,            0.025141,            0.027982,            0.002921,            0.008251,            0.008251,            0.008251
                  55,            0.030537,            0.047474,           0.0067588,             0.94453,             0.91898,             0.95569,             0.72391,            0.025103,            0.027397,           0.0028582,            0.008218,            0.008218,            0.008218
                  56,            0.031354,            0.049053,           0.0066277,              0.9309,              0.9253,             0.95518,             0.72686,            0.024679,            0.027333,           0.0028462,            0.008185,            0.008185,            0.008185
                  57,            0.031072,            0.046237,           0.0067897,             0.93803,             0.91113,             0.95215,             0.72276,            0.024712,            0.027444,           0.0029277,            0.008152,            0.008152,            0.008152
                  58,            0.030594,            0.047947,           0.0065858,             0.93277,              0.9196,             0.95459,              0.7308,            0.024281,            0.027134,           0.0028136,            0.008119,            0.008119,            0.008119
                  59,            0.030193,            0.046494,             0.00646,             0.94408,             0.92303,             0.95917,             0.72904,            0.024833,            0.027209,           0.0027469,            0.008086,            0.008086,            0.008086
                  60,            0.030536,            0.047461,           0.0068083,             0.94334,             0.92929,               0.959,             0.74092,             0.02444,            0.027087,           0.0028426,            0.008053,            0.008053,            0.008053
                  61,            0.029984,            0.047966,            0.006341,             0.94245,              0.9193,             0.95616,             0.74367,            0.024452,            0.027171,           0.0028014,             0.00802,             0.00802,             0.00802
                  62,            0.030556,            0.047847,           0.0063091,             0.94682,              0.9318,              0.9629,             0.73491,            0.024351,            0.027164,           0.0026689,            0.007987,            0.007987,            0.007987
                  63,             0.02949,            0.046292,           0.0062818,             0.96086,             0.93439,             0.96798,             0.74467,            0.024167,            0.026794,           0.0027962,            0.007954,            0.007954,            0.007954
                  64,            0.030104,            0.044554,           0.0066387,             0.94764,             0.92774,             0.96236,             0.73724,            0.023993,            0.026897,           0.0027703,            0.007921,            0.007921,            0.007921
                  65,            0.029581,             0.04344,           0.0064662,             0.94444,             0.92189,             0.95766,             0.71967,            0.024239,            0.026711,           0.0027235,            0.007888,            0.007888,            0.007888
                  66,            0.029673,            0.045398,            0.006181,             0.93717,             0.91769,             0.95881,             0.73152,            0.023628,            0.026346,           0.0027968,            0.007855,            0.007855,            0.007855
                  67,            0.029237,            0.045963,           0.0062977,             0.95087,             0.92199,             0.96518,             0.74495,            0.023302,            0.025732,            0.002647,            0.007822,            0.007822,            0.007822
                  68,            0.030013,            0.047048,           0.0059962,             0.94835,             0.91565,             0.95919,             0.73953,            0.023266,            0.025721,           0.0025554,            0.007789,            0.007789,            0.007789
                  69,            0.030221,            0.045806,           0.0062665,             0.94541,             0.92588,             0.96214,             0.74261,            0.023384,            0.025853,           0.0025745,            0.007756,            0.007756,            0.007756
                  70,            0.029401,            0.044887,           0.0059153,              0.9483,             0.92952,             0.95963,             0.74437,            0.023669,            0.026419,           0.0026019,            0.007723,            0.007723,            0.007723
                  71,            0.029769,            0.045601,           0.0062988,             0.94967,             0.93795,             0.96817,             0.75563,            0.023243,            0.025696,           0.0026532,             0.00769,             0.00769,             0.00769
                  72,            0.029351,            0.043736,            0.006446,             0.94891,             0.92717,             0.96166,             0.75785,            0.023237,            0.025601,           0.0026346,            0.007657,            0.007657,            0.007657
                  73,            0.029248,            0.043944,           0.0059419,             0.95146,             0.93097,             0.96354,              0.7568,             0.02312,            0.025465,           0.0025626,            0.007624,            0.007624,            0.007624
                  74,            0.028799,            0.043845,            0.006154,             0.95107,             0.93404,             0.96276,             0.75387,            0.022651,            0.025269,           0.0025542,            0.007591,            0.007591,            0.007591
                  75,            0.028238,             0.04333,           0.0057983,             0.94595,             0.93498,             0.96366,              0.7542,            0.023045,            0.025595,           0.0025671,            0.007558,            0.007558,            0.007558
                  76,            0.028412,            0.044792,           0.0058926,             0.93847,             0.92437,             0.95648,             0.74553,            0.023129,            0.025604,           0.0025089,            0.007525,            0.007525,            0.007525
                  77,            0.029449,            0.045353,           0.0063154,             0.94288,              0.9422,             0.96749,             0.74625,            0.022919,            0.025277,            0.002499,            0.007492,            0.007492,            0.007492
                  78,            0.028779,             0.04243,           0.0060085,             0.96204,             0.93732,             0.97121,             0.74449,            0.022799,            0.025154,           0.0024885,            0.007459,            0.007459,            0.007459
                  79,            0.028476,            0.044144,           0.0059607,             0.94036,             0.94161,              0.9649,             0.75228,            0.023075,            0.025159,           0.0025249,            0.007426,            0.007426,            0.007426
                  80,            0.028065,            0.042086,           0.0062897,             0.95087,             0.93151,             0.96873,             0.75517,            0.023343,            0.025086,           0.0025013,            0.007393,            0.007393,            0.007393
                  81,            0.028643,             0.04233,           0.0054792,             0.95022,             0.93969,             0.97051,             0.76366,            0.023369,            0.025449,           0.0024935,             0.00736,             0.00736,             0.00736
                  82,            0.028658,            0.043542,           0.0058923,             0.94391,             0.93365,             0.96632,              0.7619,            0.022967,            0.025095,           0.0024729,            0.007327,            0.007327,            0.007327
                  83,            0.028283,            0.042806,           0.0058095,              0.9574,             0.94632,             0.97139,             0.75586,            0.023318,            0.025414,           0.0024887,            0.007294,            0.007294,            0.007294
                  84,            0.028147,            0.042191,           0.0060327,             0.96075,             0.94283,             0.97235,             0.76591,            0.022814,            0.025167,           0.0024661,            0.007261,            0.007261,            0.007261
                  85,            0.029011,            0.045267,           0.0057788,             0.95452,             0.93956,             0.96947,             0.76621,            0.022379,            0.024785,           0.0024918,            0.007228,            0.007228,            0.007228
                  86,            0.027506,            0.045215,           0.0056629,             0.95781,             0.93468,             0.96986,             0.76693,            0.022267,             0.02473,            0.002426,            0.007195,            0.007195,            0.007195
                  87,            0.028061,            0.044263,           0.0054594,             0.96213,              0.9428,             0.97236,             0.77128,            0.022254,            0.024455,           0.0024474,            0.007162,            0.007162,            0.007162
                  88,            0.027983,            0.042507,           0.0057526,             0.95003,             0.93207,             0.96222,             0.76205,            0.022164,            0.024262,           0.0024403,            0.007129,            0.007129,            0.007129
                  89,            0.027564,            0.042034,           0.0056055,             0.95516,             0.92879,              0.9654,             0.76099,            0.022278,            0.024482,           0.0024058,            0.007096,            0.007096,            0.007096
                  90,            0.027865,            0.041504,           0.0055489,             0.94268,             0.93754,             0.96494,              0.7715,            0.022221,            0.024416,           0.0024078,            0.007063,            0.007063,            0.007063
                  91,            0.026956,             0.04104,           0.0053694,             0.96222,             0.94643,             0.97368,             0.77384,            0.021818,            0.024203,           0.0023509,             0.00703,             0.00703,             0.00703
                  92,            0.027703,            0.042717,           0.0057055,             0.95473,             0.94805,             0.97232,             0.77288,            0.021425,            0.024158,           0.0023876,            0.006997,            0.006997,            0.006997
                  93,            0.027696,            0.043265,           0.0053123,              0.9585,             0.94278,              0.9702,             0.77331,            0.021469,            0.024177,           0.0023357,            0.006964,            0.006964,            0.006964
                  94,            0.027595,            0.041806,           0.0055849,             0.94768,             0.94844,             0.97255,             0.77793,            0.021339,             0.02379,           0.0023469,            0.006931,            0.006931,            0.006931
                  95,            0.027235,            0.042373,           0.0053402,             0.95381,             0.94555,             0.97137,             0.76992,            0.021586,            0.023883,           0.0023805,            0.006898,            0.006898,            0.006898
