               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035709,            0.060782,            0.010703,             0.80794,             0.71405,             0.81284,              0.6167,            0.030986,            0.029517,           0.0054383,              0.0937,              0.0007,              0.0007
                   1,            0.035769,            0.057503,             0.01103,             0.81345,             0.75499,             0.84128,             0.64944,            0.030305,            0.028171,           0.0050409,            0.086495,            0.001495,            0.001495
                   2,             0.03306,            0.052138,           0.0095469,             0.83787,             0.77324,             0.85699,             0.65904,            0.029973,            0.027248,           0.0045474,            0.079285,           0.0022848,           0.0022848
                   3,            0.032763,            0.049799,            0.009797,             0.84536,              0.8087,             0.87447,             0.65907,            0.030413,            0.026346,           0.0040056,            0.072069,           0.0030693,           0.0030693
                   4,            0.033227,            0.050849,           0.0088823,             0.86126,              0.8289,             0.88761,             0.67626,            0.030022,            0.025517,           0.0038021,            0.064849,           0.0038485,           0.0038485
                   5,             0.03239,            0.048086,           0.0081349,             0.86674,             0.83754,             0.89058,             0.67009,            0.030792,            0.024889,           0.0038624,            0.057622,           0.0046225,           0.0046225
                   6,            0.034074,            0.042379,           0.0073915,             0.84532,             0.82761,             0.88332,             0.65533,            0.034141,            0.024716,           0.0035496,            0.050391,           0.0053911,           0.0053911
                   7,            0.033947,            0.042451,           0.0067963,             0.88384,             0.81813,             0.89117,             0.65495,            0.033349,            0.024158,           0.0030909,            0.043154,           0.0061545,           0.0061545
                   8,            0.035547,            0.044058,           0.0063814,             0.88786,             0.84776,             0.90775,             0.66086,            0.031508,            0.023124,           0.0028774,            0.035913,           0.0069126,           0.0069126
                   9,            0.034484,            0.042054,           0.0077013,             0.90324,             0.83712,             0.91089,             0.69399,            0.031105,             0.02271,           0.0028516,            0.028665,           0.0076654,           0.0076654
                  10,             0.03376,            0.043591,           0.0079486,             0.90858,              0.8529,             0.91072,             0.67347,            0.031609,            0.023022,           0.0032001,            0.021413,           0.0084129,           0.0084129
                  11,            0.035445,            0.044186,           0.0074182,             0.86106,             0.84357,             0.89739,             0.67366,            0.032837,             0.02213,           0.0028906,            0.014155,           0.0091552,           0.0091552
                  12,             0.03545,            0.040307,           0.0071711,              0.8694,             0.84925,             0.91711,             0.68922,            0.032756,            0.022421,           0.0029603,            0.009604,            0.009604,            0.009604
                  13,            0.035107,            0.039646,           0.0074874,             0.88546,               0.858,             0.91775,             0.65532,            0.034267,            0.022456,           0.0029774,            0.009604,            0.009604,            0.009604
                  14,            0.036745,            0.043209,           0.0076086,             0.85835,              0.8765,             0.92003,              0.6549,            0.034505,            0.022162,           0.0030216,            0.009571,            0.009571,            0.009571
                  15,            0.037952,            0.041531,           0.0069465,             0.88269,             0.88266,             0.93359,             0.66817,            0.033068,            0.021818,           0.0031427,            0.009538,            0.009538,            0.009538
                  16,            0.035623,            0.041702,           0.0069195,             0.86489,             0.87296,             0.92391,              0.6926,            0.031868,            0.021608,           0.0032678,            0.009505,            0.009505,            0.009505
                  17,            0.034144,            0.036921,           0.0067649,             0.84951,             0.89413,             0.92911,             0.67598,            0.033011,            0.021403,           0.0029961,            0.009472,            0.009472,            0.009472
                  18,            0.032662,            0.036989,           0.0073923,             0.87909,             0.86167,              0.9283,             0.67415,            0.032652,            0.021498,           0.0028596,            0.009439,            0.009439,            0.009439
                  19,            0.036756,            0.038963,            0.006651,             0.87221,             0.89029,             0.94273,             0.68557,            0.032223,             0.02087,           0.0027438,            0.009406,            0.009406,            0.009406
                  20,            0.034246,            0.037782,            0.007181,             0.88894,             0.89822,             0.94941,             0.71994,            0.030052,            0.020299,           0.0027246,            0.009373,            0.009373,            0.009373
                  21,             0.03228,            0.038808,           0.0070519,              0.8864,             0.88366,             0.94221,             0.70437,            0.031775,            0.020346,           0.0027561,             0.00934,             0.00934,             0.00934
                  22,            0.035356,            0.039143,            0.006072,             0.89719,             0.87727,             0.93837,              0.6842,            0.032866,            0.021006,           0.0027834,            0.009307,            0.009307,            0.009307
                  23,            0.035389,            0.040457,             0.00675,             0.90168,             0.88907,             0.94555,             0.69448,             0.03055,            0.019711,           0.0028675,            0.009274,            0.009274,            0.009274
                  24,            0.033619,             0.03883,           0.0062222,             0.89566,             0.89269,             0.95014,             0.69397,            0.031269,            0.019691,            0.002852,            0.009241,            0.009241,            0.009241
                  25,            0.032935,            0.033466,           0.0071206,             0.92207,             0.87799,             0.94392,             0.70448,             0.03018,            0.019916,           0.0029978,            0.009208,            0.009208,            0.009208
                  26,            0.033867,            0.039171,           0.0057668,             0.92294,             0.88293,             0.94185,              0.6848,            0.031781,            0.019785,           0.0027493,            0.009175,            0.009175,            0.009175
                  27,            0.033246,            0.039056,            0.005508,             0.90525,             0.90518,             0.95271,              0.6928,            0.032469,            0.019859,           0.0025885,            0.009142,            0.009142,            0.009142
                  28,            0.033353,            0.037044,           0.0060403,             0.89935,             0.90578,             0.94948,             0.72971,            0.028781,            0.019122,           0.0025436,            0.009109,            0.009109,            0.009109
                  29,            0.032118,            0.035666,           0.0055914,             0.89035,             0.91123,             0.95065,              0.7116,            0.029928,            0.019542,           0.0025206,            0.009076,            0.009076,            0.009076
                  30,            0.032394,            0.033871,           0.0053196,             0.92978,             0.88233,             0.94317,             0.71934,            0.030112,            0.018937,           0.0024893,            0.009043,            0.009043,            0.009043
                  31,            0.033211,            0.032806,           0.0058845,             0.91594,             0.90415,             0.94943,             0.72078,            0.030101,            0.019042,           0.0025579,             0.00901,             0.00901,             0.00901
                  32,            0.033386,            0.041476,           0.0058396,             0.91339,             0.90592,             0.95118,             0.71615,            0.030089,            0.019056,            0.002484,            0.008977,            0.008977,            0.008977
                  33,            0.033525,             0.03463,           0.0055499,             0.90864,             0.90214,              0.9475,                0.71,            0.029454,            0.018752,           0.0024778,            0.008944,            0.008944,            0.008944
