               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033501,            0.044225,           0.0086671,             0.90207,             0.89387,             0.95426,             0.70014,            0.028509,            0.025093,           0.0044675,            0.008812,            0.008812,            0.008812
                  38,            0.031833,            0.044349,           0.0078441,             0.88888,             0.91301,             0.95421,             0.71594,            0.028103,            0.024925,           0.0044684,            0.008779,            0.008779,            0.008779
                  39,            0.031099,            0.040756,           0.0086305,             0.88596,              0.9207,             0.96011,             0.74288,            0.028276,             0.02519,           0.0043021,            0.008746,            0.008746,            0.008746
                  40,             0.03215,            0.047932,           0.0085137,             0.91224,             0.89043,             0.95312,             0.72679,            0.026696,            0.024312,           0.0041761,            0.008713,            0.008713,            0.008713
                  41,            0.031729,            0.039303,           0.0078188,             0.89057,             0.88396,             0.94676,             0.71539,            0.028064,            0.024524,           0.0040046,             0.00868,             0.00868,             0.00868
                  42,            0.032382,            0.046805,           0.0081825,             0.91765,             0.88651,             0.96678,             0.73642,            0.029119,             0.02527,           0.0039468,            0.008647,            0.008647,            0.008647
                  43,            0.032512,            0.043124,             0.00781,             0.89979,             0.88436,             0.96302,             0.72209,            0.028896,             0.02441,            0.003919,            0.008614,            0.008614,            0.008614
                  44,             0.03322,            0.043263,            0.007564,             0.89763,             0.89157,              0.9564,             0.72475,            0.027223,            0.023866,           0.0038818,            0.008581,            0.008581,            0.008581
                  45,            0.031682,            0.042876,           0.0076451,             0.82482,             0.94246,             0.96379,             0.69389,            0.027402,            0.023791,            0.003754,            0.008548,            0.008548,            0.008548
                  46,             0.03047,            0.041023,           0.0068157,             0.88636,             0.92809,             0.96638,             0.71906,             0.02688,            0.024115,           0.0037781,            0.008515,            0.008515,            0.008515
                  47,            0.030415,             0.04309,             0.00712,             0.88169,             0.92836,              0.9692,             0.74041,            0.027103,            0.023971,           0.0037245,            0.008482,            0.008482,            0.008482
                  48,            0.030994,            0.041943,           0.0072418,             0.84978,             0.93349,             0.96719,             0.73993,            0.027905,             0.02446,           0.0036827,            0.008449,            0.008449,            0.008449
