               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04721,            0.085727,             0.10016,            0.055124,            0.038565,            0.034141,            0.020562,            0.043908,            0.059446,             0.08024,              0.0721,              0.0031,              0.0031
                   1,            0.051025,            0.084348,            0.063085,            0.096474,             0.12487,            0.093464,            0.044732,            0.050686,            0.055998,             0.04871,            0.043279,           0.0062792,           0.0062792
                   2,            0.052508,            0.079487,            0.046043,             0.37483,             0.24984,             0.25105,             0.12868,            0.047859,            0.056354,            0.032097,            0.014437,           0.0094373,           0.0094373
                   3,              0.0537,            0.078992,            0.034897,             0.62128,              0.3184,             0.33392,             0.15977,            0.052261,            0.055906,            0.023791,            0.009901,            0.009901,            0.009901
                   4,            0.052395,            0.078718,            0.029614,             0.72126,             0.37485,             0.43281,             0.23327,            0.047272,            0.056014,            0.020077,            0.009901,            0.009901,            0.009901
                   5,             0.05169,            0.079596,            0.027012,             0.72123,             0.43124,             0.49061,             0.27754,            0.046843,            0.055377,            0.017855,            0.009868,            0.009868,            0.009868
                   6,             0.05066,            0.077637,            0.023785,               0.727,             0.44514,             0.52057,              0.2766,             0.04835,            0.054636,            0.016204,            0.009835,            0.009835,            0.009835
                   7,            0.051319,            0.078829,            0.022805,             0.72292,              0.5043,             0.58534,             0.32436,            0.046143,            0.053137,            0.014131,            0.009802,            0.009802,            0.009802
                   8,             0.04973,            0.074802,            0.020995,             0.73552,             0.50562,             0.58685,             0.32808,            0.047151,            0.053887,            0.013253,            0.009769,            0.009769,            0.009769
                   9,            0.050596,            0.076731,            0.019632,             0.78078,             0.52887,             0.62996,              0.3648,            0.045349,            0.053473,            0.012062,            0.009736,            0.009736,            0.009736
                  10,            0.050363,            0.078494,            0.019444,               0.733,             0.56588,             0.62855,             0.36344,            0.045631,            0.053518,            0.012321,            0.009703,            0.009703,            0.009703
                  11,            0.050389,            0.075958,            0.018938,             0.74993,             0.56899,             0.64754,             0.37911,            0.045373,            0.052448,            0.011436,             0.00967,             0.00967,             0.00967
                  12,            0.048782,            0.075251,            0.018307,             0.75956,             0.58805,             0.67476,             0.40475,             0.04417,            0.050632,            0.010327,            0.009637,            0.009637,            0.009637
                  13,            0.048738,            0.076679,            0.016622,             0.74849,             0.63624,             0.69001,              0.3856,            0.045347,            0.050089,           0.0098066,            0.009604,            0.009604,            0.009604
