               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.044027,             0.05778,             0.01344,             0.81054,             0.76815,             0.85775,             0.52262,            0.040538,            0.036044,           0.0069723,            0.008812,            0.008812,            0.008812
                  38,            0.043834,            0.058695,            0.011785,             0.79593,             0.78579,              0.8473,             0.51835,            0.039291,            0.035623,           0.0067554,            0.008779,            0.008779,            0.008779
                  39,            0.043282,            0.055054,            0.012678,             0.81962,             0.76485,             0.85349,             0.52995,            0.040763,            0.036603,            0.006706,            0.008746,            0.008746,            0.008746
                  40,            0.045181,            0.065377,            0.012316,             0.82431,             0.76374,             0.85819,             0.52642,            0.039781,            0.035848,           0.0065651,            0.008713,            0.008713,            0.008713
                  41,            0.044593,            0.052718,            0.011321,             0.80842,             0.78946,             0.86483,             0.55657,            0.039066,            0.035176,           0.0063596,             0.00868,             0.00868,             0.00868
                  42,            0.043406,            0.061612,            0.012237,             0.84337,               0.769,             0.87388,             0.54699,            0.040387,            0.036004,           0.0061643,            0.008647,            0.008647,            0.008647
                  43,            0.044587,            0.056963,            0.012358,              0.8618,             0.75551,             0.87888,             0.57473,            0.039589,            0.035524,           0.0061274,            0.008614,            0.008614,            0.008614
                  44,            0.043724,            0.057775,             0.01147,             0.84042,              0.7664,             0.86773,             0.52928,            0.039755,            0.035442,            0.006155,            0.008581,            0.008581,            0.008581
                  45,             0.04289,            0.057118,            0.011704,             0.84083,             0.79404,             0.87008,             0.55433,            0.039484,            0.035224,           0.0059948,            0.008548,            0.008548,            0.008548
                  46,            0.041718,            0.056511,            0.010919,             0.81624,             0.79233,              0.8622,              0.5663,            0.037708,            0.034308,           0.0059016,            0.008515,            0.008515,            0.008515
                  47,            0.041913,            0.057091,             0.01026,             0.82422,             0.80095,             0.87347,             0.55301,            0.037569,            0.034671,           0.0057359,            0.008482,            0.008482,            0.008482
                  48,            0.041922,            0.056214,            0.010891,             0.79821,             0.83037,             0.87754,             0.56215,            0.039082,            0.034401,           0.0056517,            0.008449,            0.008449,            0.008449
                  49,            0.042533,            0.060668,            0.010587,             0.84201,             0.82675,             0.88976,              0.5757,            0.036335,            0.034111,           0.0056872,            0.008416,            0.008416,            0.008416
                  50,            0.041119,            0.057765,            0.011492,               0.858,             0.82315,             0.88962,             0.58465,            0.036041,            0.033975,           0.0055742,            0.008383,            0.008383,            0.008383
